Ügyfélszám;Ügyfél név;Mobilszám;SIM státusz;Tarifacsomag;Tétel;Díj jellege;Év;Hónap;Kiszámlázott idõszak kezdete;darabszám;árazott perc;adatmennyiség (Mbyte);Egységár;Nettó összeg;Bruttó összeg;;Áfa összege;Kedvezménnyel csökkentett Nettó összeg;Kedvezménnyel csökkentett Bruttó összeg;Kedvezménnyel csökkentett Áfa összeg;Áfa kulcsa
138800;Astra Zeneca Kft. ;202216422;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.14;3;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202216422;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202216422;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202216422;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202216422;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202216422;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;62;;220,3;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202216437;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202216437;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202216437;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202216437;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202216450;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202216450;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202216450;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202216450;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.06;1;21,65;;71,65;1551,22;1970,0494;;418,8294;1551,22;1970,0494;418,8294;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;MMS                           ;Forgalmi;2019;11;2019.11.25;1;;;111,4;111,4;141,478;;30,078;111,4;141,478;30,078;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.04;27;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.04;45;202,97;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.06;6;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.05;39;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.16;2;3,95;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Nemzetközi kedvezmény 40%     ;Forgalmi;2019;11;2019.11.06;;;;-620,49;0;0;;0;-620,49;-788,0223;-167,5323;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;74;;743,38;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202216476;A;Üzleti elõfizetés             ;MMS                           ;Forgalmi;2019;11;2019.11.04;4;;;111,4;445,6;565,912;;120,312;445,6;565,912;120,312;27
138800;Astra Zeneca Kft. ;202296774;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202296774;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202296774;A;Váll. Hipernet Start          ;vállalati hiper aktiváló      ;Forgalmi;2019;11;2019.11.01;50;;1257,52;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202301336;A;Váll. Hipernet Start          ;Company Policy                ;Forgalmi;2019;11;2019.11.02;3;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202301336;A;Váll. Hipernet Start          ;Company Policy                ;Forgalmi;2019;11;2019.11.08;2;;1,4;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202301336;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202301336;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202301336;A;Váll. Hipernet Start          ;Company Policy                ;Forgalmi;2019;11;2019.11.02;4;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202301336;A;Váll. Hipernet Start          ;vállalati hiper aktiváló      ;Forgalmi;2019;11;2019.11.01;42;;895,49;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202301339;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202301339;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202301354;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202301354;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202301354;A;Váll. Hipernet Start          ;vállalati hiper aktiváló      ;Forgalmi;2019;11;2019.11.01;39;;444,93;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202301439;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202301439;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202301439;A;Váll. Hipernet Start          ;vállalati hiper aktiváló      ;Forgalmi;2019;11;2019.11.01;36;;205,26;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202301571;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202301571;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202301571;A;Váll. Hipernet Start          ;vállalati hiper aktiváló      ;Forgalmi;2019;11;2019.11.01;36;;346,88;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202301780;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202301780;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
138800;Astra Zeneca Kft. ;202301780;A;Váll. Hipernet Start          ;vállalati hiper aktiváló      ;Forgalmi;2019;11;2019.11.01;50;;1381,96;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.01;16;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.04;14;38,16;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202313126;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;64;;406,21;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.15;9;58,5;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;MMS                           ;Forgalmi;2019;11;2019.11.14;1;;;111,4;111,4;141,478;;30,078;111,4;141,478;30,078;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.02;93;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.04;66;421,19;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.07;4;;21,62;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.05;16;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.02;89;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;151;;1334;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202314064;A;Üzleti elõfizetés             ;MMS                           ;Forgalmi;2019;11;2019.11.11;2;;;111,4;222,8;282,956;;60,156;222,8;282,956;60,156;27
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.21;2;;;52,75;105,5;133,985;;28,485;105,5;133,985;28,485;27
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.04;11;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.05;10;27,59;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.20;1;;8,5;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202315403;A;Üzleti elõfizetés             ;Átirányítási díj              ;Forgalmi;2019;11;2019.11.25;1;1,17;;30;35;44,45;;9,45;35;44,45;9,45;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Forgalmi;2019;11;2019.10.30;1;8,04;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.10.28;7;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Forgalmi;2019;11;2019.10.28;1;3,57;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.10.26;1;;;52,75;52,75;66,9925;;14,2425;52,75;66,9925;14,2425;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.19;3;2,73;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.13;7;3,2;;111,81;357,78;454,3806;;96,6006;357,78;454,3806;96,6006;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;43;;658,22;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.10.29;2;12,47;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Nemzetközi kedvezmény 40%     ;Forgalmi;2019;11;2019.10.26;;;;-143,11;0;0;;0;-143,11;-181,7497;-38,6397;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202508576;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.03;119;;840,04;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.01;21;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.02;50;276,78;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.04;15;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.01;25;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.10.29;2;;2,11;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;374;;2604,27;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202530787;A;Üzleti elõfizetés             ;MMS                           ;Forgalmi;2019;11;2019.10.23;3;;;111,4;334,2;424,434;;90,234;334,2;424,434;90,234;27
138800;Astra Zeneca Kft. ;202562863;A;Váll. Hipernet Start          ;Mobil Int.50%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-1334,65;0;0;;0;-1334,65;-1401,3825;-66,7325;5
138800;Astra Zeneca Kft. ;202562863;A;Váll. Hipernet Start          ;Váll. Hipernet Start          ;Rendszeres;2019;11;2019.10.26;;;;2669,29;2669,29;2802,7545;;133,4645;2669,29;2802,7545;133,4645;5
